FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Frame type ,Unit/strip,Process,Before_Outlier,After_Outlier
F70022,5.0,220.58,TQ-258E258B014C,2.58X2.58,QFN,Copper ,1575.0,,1,1
FR0005,5.0,202.31,TQ-400E400B024A,4X4,QFN,Copper ,700.0,,3,3
FR0011,5.0,168.29,NQ-600E600B040A,6X6,QFN,Copper ,315.0,,2,2
FR0060,5.0,157.83,NQ-500E500B028A,5X5,QFN,Copper ,440.0,Full Cut,7,6
FR0068,3.0,160.02,NQ-700E7001032A,7X7,SLP,Copper ,240.0,Step Cut,9,9
FR0158,5.0,128.28,NQ-900E900B064A,9X9,QFN,Copper ,120.0,Full Cut,2,2
FR0250,5.0,136.88,NQ-700E7001056A,7X7,SLP,Copper ,240.0,Full Cut,1,1
FR0260,5.0,169.51,MQ-300E500B024K,5X3,QFN,Copper ,715.0,,1,1
FR0345,3.0,302.3,ND-200E300B008P,3X2,QFN,Full PPF,1690.0,,1,1
FR0370,5.0,146.11,NQ-400E500B028A,5X4,QFN,Copper ,550.0,,1,1
FR0371,5.0,189.85,TQ-500E600B028A,6X5,QFN,Copper ,360.0,,1,1
FR0383,5.0,128.28,TQ-900E900B064A,9X9,QFN,Copper ,120.0,,2,2
FR0437,5.0,180.13,TQ-500E700B038A,7X5,QFN,Copper ,320.0,,1,1
FR0453,3.0,251.57,TD-250S200Z004D,2.5X2.2,QFN,Full PPF,1995.0,,1,1
FR0461,3.0,245.82,ND-320S250P004P,2.5X3.2,QFN,Full PPF,1275.0,,1,1
FR0551,5.0,278.17,TD-200E200M008A,2X2,QFN,Copper ,2470.0,,1,1
FR0574,3.0,149.62,ND-500E600G008D,6X5,QFN,Full PPF,385.0,,1,1
FR0624,3.0,146.31,NQ-800E800B056D,8X8,QFN,Full PPF,175.0,,2,2
FR0674,5.0,193.46,TQ-300E600B028A,6X3,QFN,Copper ,585.0,,1,1
FR0694,3.0,258.32,TD-200S160Z004D,1.6X2,QFN,Full PPF,2990.0,,1,1
FR0695,5.0,241.47,ND-280E160D004A,1.6X2.8,QFN,Copper ,2300.0,,1,1
FR0699,5.0,168.23,MQC500E5001032A,5X5,SLP,Copper ,440.0,Full Cut,3,3
FR0720,3.0,208.28,MQ-400E400B024P,4X4,QFN,Full PPF,700.0,,3,3
FR0726,5.0,209.86000000000004,NQ-300E3001020A,3X3,SLP,Copper ,1170.0,Full Cut,1,1
FR0751,5.0,168.23,NQ-500E5001032A,5X5,SLP,Copper ,440.0,Full Cut,3,3
FR0773,3.0,157.56,ND-400E3001012A,3X4,SLP,Copper ,910.0,Step Cut,2,2
FR0785,3.0,209.86,MQ-400E4001024A,4X4,SLP,Copper ,700.0,Step Cut,11,11
FR0945,5.0,168.23,NQ-500E5001032A,5X5,SLP,Copper ,440.0,Full Cut,3,3
FR0958,3.0,208.28,NQ-400E400B020D,4X4,QFN,Full PPF,700.0,,3,3
FR0968,5.0,168.29,NQ-600E600B036A,6X6,QFN,Copper ,315.0,,2,2
FR0969,5.0,144.37,MQC700E700B048A,7X7,QFN,Copper ,240.0,Full Cut,1,1
FR0979,3.0,285.29,TQ-300E300B016A,3X3,QFN,Full PPF,1170.0,,1,1
FR0986,3.0,193.98,MQD415E600Z015C,6X4.15,QFN,Full PPF,405.0,,1,1
FR0989,3.0,160.02,NQ-700E7001048A,7X7,SLP,Copper ,240.0,Step Cut,9,9
FR1010,5.0,240.94999999999996,ND-200E300B008A,3X2,QFN,Copper ,1690.0,,1,1
FR1086,3.0,171.43000000000004,NQ-700Z700A056T,7X7,QFN,Full PPF,0.0,Step Cut,1,1
FR1091,5.0,157.83,NQ-500E500D016A,5X5,QFN,Copper ,440.0,,7,6
FR1128,5.0,157.83,NQ-500E500A040A,5X5,QFN,Copper ,440.0,,7,6
FR1138,3.0,203.43,TQ-300E3001012C,3X3,SLP,Copper ,1170.0,Step Cut,8,8
FR1144,3.0,160.02,NQC700E7001048A,7X7,SLP,Copper ,240.0,Step Cut,9,9
FR1151,3.0,174.49,ND-400E400X012E,4X4,SFS,Copper ,700.0,Step Cut,1,1
FR1152,3.0,177.83,NQ-500E5001032A,5X5,SLP,Copper ,440.0,Step Cut,6,5
FR1162,3.0,209.86,NQ-400E4001024A,4X4,SLP,Copper ,700.0,Step Cut,11,11
FR1164,5.0,152.41,NQC800E800B048A,8X8,QFN,Copper ,175.0,,2,2
FR1168,3.0,160.02,NQ-700E7001048A,7X7,SLP,Copper ,240.0,Step Cut,9,9
FR1170,3.0,167.15,TD-170E2501002A,2.5X1.7,SLP,Copper ,2325.0,Step Cut,2,2
FR1192,2.0,225.76,NQ-500E5001024A,5X5,SLP,Copper ,440.0,,3,3
FR1212,3.0,194.84,NQ-350E4501020A,4.5X3.5,SLP,Copper ,720.0,Step Cut,1,1
FR1252,3.0,201.45,TD-200E2001008A,2X2,SLP,Copper ,2470.0,Step Cut,5,4
FR1263,3.0,160.02,NQ-700E7001048A,7X7,SLP,Copper ,240.0,Step Cut,9,9
FR1278,3.0,209.86,TQ-400E4001020A,4X4,SLP,Copper ,700.0,Step Cut,11,11
FR1285,5.0,164.75,MQC400S400X024A,4X4,SFS,Copper ,700.0,Full Cut,1,1
FR1297,3.0,203.43,ND-300E3001010A,3X3,SLP,Copper ,1170.0,Step Cut,8,8
FR1321,3.0,209.86,NQ-400E4001024A,4X4,SLP,Copper ,700.0,Step Cut,11,11
FR1327,3.0,160.02,NQ-700E7001048A,7X7,SLP,Copper ,240.0,Step Cut,9,9
FR1341,5.0,164.02,ND-500S600G008A,6X5,QFN,Copper ,385.0,,2,2
FR1392,3.0,201.45,TD-200E2001006A,2X2,SLP,Copper ,2470.0,Step Cut,5,4
FR1401,2.0,199.28,MQC600E6001032A,6X6,SLP,Copper ,315.0,,3,3
FR1406,3.0,203.43,ND-300E3001010A,3X3,SLP,Copper ,1170.0,Step Cut,8,8
FR1407,2.0,225.76,MQC500E5001032A,5X5,SLP,Copper ,440.0,,3,3
FR1414,3.0,185.5,TD-300D2001012A,2X3,SLP,Copper ,1710.0,Step Cut,4,3
FR1441,3.0,185.5,TD-300E2001010A,2X3,SLP,Copper ,1710.0,Step Cut,4,3
FR1442,3.0,203.43,NQ-300E3001016A,3X3,SLP,Copper ,1170.0,Step Cut,8,8
FR1447,3.0,160.02,NQ-700E7001056A,7X7,SLP,Copper ,240.0,Step Cut,9,9
FR1449,3.0,203.43,TD-300E3001010A,3X3,SLP,Copper ,1170.0,Step Cut,8,8
FR1456,3.0,236.82,NQP400E3501014C,3.5X4,SLP,Copper ,770.0,Step Cut,2,2
FR1464,3.0,209.86,NQ-400E4001020A,4X4,SLP,Copper ,700.0,Step Cut,11,11
FR1493,3.0,189.13,TQ-400E600Z016A,6X4,QFN,Full PPF,450.0,,1,1
FR1500,5.0,164.02,ND-500E600G008A,6X5,QFN,Copper ,385.0,,2,2
FR1618,5.0,152.41,NDC800E800Z008A,8X8,QFN,Copper ,175.0,,2,2
FR1634,5.0,157.83,TQC500E500U031U,5X5,QFN,Copper ,440.0,,7,6
FR1662,3.0,208.28,NQC400S400A032D,4X4,QFN,Full PPF,700.0,,3,3
FR1698,5.0,157.83,TQ-500M500U032U,5X5,QFN,Copper ,440.0,,7,6
FR1745,5.0,148.7,TQZ500M600U039U,5X6,QFN,Copper ,360.0,,4,3
FR1761,3.0,147.23,NDC500E600G008D,5X6,QFN,Full PPF,385.0,,1,1
FR1768,5.0,148.7,TQ-500E600B036K,5X6,QFN,Copper ,360.0,,4,3
FR1771,5.0,145.14,TD-300E300B010A,3X3,QFN,Copper ,1170.0,,1,1
FR1806,3.0,146.31,NDC800E800Z008B,8X8,QFN,Full PPF,175.0,,2,2
FR1813,5.0,157.83,TQC500M500U031U,5X5,QFN,Copper ,440.0,,7,6
FR1819,5.0,143.34,4Q-400M600S034U,6X4,QFN,Copper ,450.0,,2,2
FR1862,5.0,143.34,4Q-400E600U034U,6X4,QFN,Copper ,450.0,,2,2
FR4003,3.0,205.55,TQC500M500W031U,5X5,QFN,Full PPF,440.0,,1,1
FR4006,3.0,148.19,NQ-900M9001064U,9X9,SLP,Copper ,120.0,Step Cut,4,4
FR5001,3.0,275.79,TD-200E200C006D,2X2,QFN,Full PPF,2470.0,,1,1
FR5022,3.0,299.88,NQC700E700A056D,7X7,QFN,Full PPF,240.0,,1,1
FR5055,3.0,185.5,TD-300E2001010Z,2X3,SLP,Copper ,1710.0,Step Cut,4,3
FR5068,3.0,177.83,NQ-500E5001028Z,5X5,SLP,Copper ,440.0,Step Cut,6,5
FR5071,3.0,181.52,ND-500E4001016U,4X5,SLP,Copper ,550.0,Step Cut,2,2
FR5077,5.0,148.7,4DC600M500U012U,5X6,QFN,Copper ,360.0,,4,3
FR5084,3.0,201.6,TQ-300E4001020Z,4X3,SLP,Copper ,910.0,Step Cut,1,1
FR5088,3.0,148.19,NQ-900E9001064U,9X9,SLP,Copper ,120.0,Step Cut,4,4
FR5090,3.0,203.43,TD-300E3001012U,3X3,SLP,Copper ,1170.0,Step Cut,8,8
FR5111,3.0,157.56,TD-400E3001014U,3X4,SLP,Copper ,910.0,Step Cut,2,2
FR5127,3.0,148.19,NQ-900E9001064E,9X9,SLP,Copper ,120.0,Step Cut,4,4
FR5129,3.0,179.65,ND-450D3001014Z,3X4.5,SLP,Copper ,780.0,Step Cut,1,1
FR5131,3.0,196.59,NQ-550D3501024U,3.5X5.5,SLP,Copper ,560.0,Step Cut,1,1
FR5145,3.0,203.43,NQ-300E3001016Z,3X3,SLP,Copper ,1170.0,Step Cut,8,8
FR5147,3.0,177.83,NQ-500E5001032Z,5X5,SLP,Copper ,440.0,Step Cut,6,5
FR5150,5.0,157.83,5QC500S500U032U,5X5,QFN,Copper ,440.0,,7,6
FR5193,3.0,209.86,NQ-400E4001024Z,4X4,SLP,Copper ,700.0,Step Cut,11,11
FR5210,5.0,148.7,TQ-500E600U039U,5X6,QFN,Copper ,360.0,,4,3
FR5220,5.0,141.35,TD-700M500U032U,5X7,QFN,Copper ,320.0,,1,1
FR5230,5.0,162.99,TQ-400E500U025U,5X4,QFN,Copper ,560.0,,1,1
FR6002,2.0,170.93000000000004,MQ-700E7001048A,7X7,SLP,Copper ,240.0,,1,1
FR6003,2.0,199.28,MQ-600E6001040A,6X6,SLP,Copper ,315.0,,3,3
FR6009,2.0,166.24,ND-300E3001006A,3X3,SLP,Copper ,1170.0,,1,1
FR6011,2.0,225.76,MQ-500E5001032A,5X5,SLP,Copper ,440.0,,3,3
FR6014,3.0,177.83,NQ-500E5001032A,5X5,SLP,Copper ,440.0,Step Cut,6,5
FR6015,3.0,209.86,NQ-400E4001020A,4X4,SLP,Copper ,700.0,Step Cut,11,11
FR6016,3.0,203.43,ND-300E3001008A,3X3,SLP,Copper ,1170.0,Step Cut,8,8
FR6021,2.0,199.28,MQC600E6001040A,6X6,SLP,Copper ,315.0,,3,3
FR6022,3.0,209.86,MQC400E4001024A,4X4,SLP,Copper ,700.0,Step Cut,11,11
FR6026,3.0,208.48,TQ-400E5001028A,5X4,SLP,Copper ,550.0,Step Cut,2,2
FR6043,3.0,201.45,NDC200E2001008A,2X2,SLP,Copper ,2470.0,Step Cut,5,4
FR6053,3.0,209.86,NQ-400E4001024A,4X4,SLP,Copper ,700.0,Step Cut,11,11
FR6055,3.0,209.86,NQC400E4001024A,4X4,SLP,Copper ,700.0,Step Cut,11,11
FR6059,3.0,160.02,NQ-700E7001048A,7X7,SLP,Copper ,240.0,Step Cut,9,9
FR6063,3.0,177.83,TQ-500D5001032A,5X5,SLP,Copper ,440.0,Step Cut,6,5
FR6084,3.0,167.15,TD-170E2501002E,2.5X1.7,SLP,Copper ,2325.0,Step Cut,2,2
FR6104,3.0,201.45,TD-200E2001008A,2X2,SLP,Copper ,2470.0,Step Cut,5,4
FR6125,3.0,181.52,TQ-400E5001026C,4X5,SLP,Copper ,550.0,Step Cut,2,2
FR6131,3.0,150.49,NQ-A00EA001072U,10X10,SLP,Copper ,120.0,Step Cut,2,2
FR6133,3.0,160.02,TQ-700E7001048K,7X7,SLP,Copper ,240.0,Step Cut,9,9
FR6134,5.0,202.31,TQ-400E400B026C,4X4,QFN,Copper ,700.0,,3,3
FR6164,3.0,148.19,NQ-900E9001064A,9X9,SLP,Copper ,120.0,Step Cut,4,4
FR6195,3.0,177.83,TQ-500E5001032K,5X5,SLP,Copper ,440.0,Step Cut,6,5
FRA001,5.0,202.31,NQC400E400A032K,4X4,QFN,Copper ,700.0,,3,3
FRA059,3.0,209.86,NQ-400E4001022K,4X4,SLP,Copper ,700.0,Step Cut,11,11
FRA066,3.0,208.48,NQ-400E5001022C,5X4,SLP,Copper ,550.0,Step Cut,2,2
FRA092,3.0,150.49,NQCA00EA001072U,10X10,SLP,Copper ,120.0,Step Cut,2,2
FRA123,3.0,185.5,TD-300E2001010K,2X3,SLP,Copper ,1710.0,Step Cut,4,3
FRA150,3.0,226.7,MQD350E4501016N,4.5X3.5,SLP,Copper ,660.0,Step Cut,1,1
FRA159,3.0,236.82,NQ-400E3501014N,3.5X4,SLP,Copper ,770.0,Step Cut,2,2
FRA162,3.0,201.45,NQ-200E2001009C,2X2,SLP,Copper ,2470.0,Step Cut,5,4
FRA163,3.0,194.19,NQ-550E5001032N,5X5.5,SLP,Copper ,385.0,Step Cut,1,1
FRA164,3.0,271.53,NQ-300E2001009N,3X2,SLP,Copper ,1690.0,Step Cut,1,1
